Series Name,Series Code,Country Name,Country Code,Year.1,Value
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1967,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1968,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1969,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1970,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1971,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1972,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1973,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1974,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1975,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1976,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1977,7.449
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1978,7.449
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1979,7.449
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1980,7.449
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1981,7.449
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1982,7.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1983,7.452
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1984,7.455
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1985,7.458
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1986,7.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1987,7.461
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1988,7.461
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1989,7.461
